Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
854655098,"4 Feb 2017, 07:52:46",Morning Ride,Ride,,15219,99.80,105,false,,activities/946210952.fit.gz
856024948,"5 Feb 2017, 07:51:02",Should have charged the Garmin. 10 precious miles not recorded. Grrrr,Ride,"",16642,67.66,132,false,,activities/947688001.fit.gz
862520769,"11 Feb 2017, 08:52:03",Morning Ride,Ride,,16657,93.36,167,false,,activities/954677299.fit.gz
863681822,"12 Feb 2017, 08:03:54",Blowing a bas*$#d ride with Richard,Ride,"",14626,83.34,123,false,,activities/955942989.fit.gz
869383338,"17 Feb 2017, 08:30:27",Morning Ride,Ride,,11327,86.16,149,false,,activities/962065414.fit.gz
869424864,"17 Feb 2017, 11:39:52",Lunch Ride,Ride,,3082,17.13,14,false,,activities/962107300.fit.gz
876037902,"22 Feb 2017, 18:14:01",Evening Run,Run,,2835,8.05,38,false,,activities/969183483.fit.gz
879945052,"26 Feb 2017, 07:43:24",Getting to the start.,Ride,"",3678,23.68,58,false,,activities/973524878.fit.gz
880309090,"26 Feb 2017, 09:09:42",Early finish due to mechanical.,Ride,"",12033,74.10,120,false,,activities/973926082.fit.gz
885248205,"2 Mar 2017, 17:39:44",Afternoon Run,Run,,3580,9.93,22,false,,activities/980132499.fit.gz
885826253,"3 Mar 2017, 07:39:31",Morning Ride,Ride,,1701,9.23,15,false,,activities/981165285.fit.gz
887623016,"3 Mar 2017, 12:30:00",Anglezarke and Sheephouse,Ride,"",4800,28.96,,false,,
887623946,"4 Mar 2017, 07:30:00",Morning Ride,Ride,"",10800,67.59,,false,,
888710820,"5 Mar 2017, 08:43:49",Wet and hilly. Xx,Ride,"",19797,97.18,,false,,activities/985811334.fit.gz
897216639,"12 Mar 2017, 08:29:09",Morning Ride,Ride,,14565,91.30,,false,,activities/995912655.fit.gz
901476149,"15 Mar 2017, 17:52:42",Afternoon Ride,Ride,,3406,22.32,,false,,activities/1000441497.fit.gz
903395150,"17 Mar 2017, 06:52:57",Morning Run,Run,,8163,20.83,53,false,,activities/1002476951.fit.gz
905833201,"19 Mar 2017, 09:26:54","Sunday morning jog with eldest son, Alex. ",Run,"",3789,10.60,34,false,,activities/1005055832.fit.gz
913996850,"25 Mar 2017, 09:30:16",Morning Ride,Ride,,24988,123.94,,false,,activities/1013566595.fit.gz
914747295,"26 Mar 2017, 07:13:52",Morning Ride,Ride,,3239,17.78,,false,,activities/1014350800.fit.gz
922132471,"31 Mar 2017, 13:21:53",Afternoon sneak off early,Ride,"",8015,48.78,,false,,activities/1021925227.fit.gz
923302179,"1 Apr 2017, 07:36:54",Morning Ride,Ride,,23196,107.36,126,false,,activities/1023133106.fit.gz
924923515,"2 Apr 2017, 08:04:43",Morning Ride,Ride,,20067,90.36,143,false,,activities/1024809192.fit.gz
929545157,"5 Apr 2017, 17:29:37",Commute home through Brindle,Run,"",4431,12.29,24,false,,activities/1029550199.fit.gz
933063370,"8 Apr 2017, 07:35:39",Morning Ride,Ride,,22425,119.42,156,false,,activities/1033161007.fit.gz
933280393,"8 Apr 2017, 07:00:59",8 miles not recorded on Garmin,Ride,Home to Mellor,2400,12.87,,false,,
934432149,"9 Apr 2017, 08:32:10",Morning Ride,Ride,,9368,66.13,44,false,,activities/1034581387.fit.gz
940628206,"13 Apr 2017, 08:27:09",Morning Ride,Ride,,32778,161.50,218,false,,activities/1040957438.fit.gz
945994194,"17 Apr 2017, 08:29:07",Morning Ride,Ride,,11083,64.75,84,false,,activities/1046510166.fit.gz
954898923,"23 Apr 2017, 06:22:03",Morning Ride,Ride,,22954,111.75,230,false,,activities/1055686048.fit.gz
959817775,"27 Apr 2017, 06:24:54",Morning run,Run,"",2906,8.16,21,false,,activities/1060703854.fit.gz
962733278,"29 Apr 2017, 11:09:24",Run with the son,Run,"",6335,17.30,106,false,,activities/1063684262.fit.gz
965841252,"1 May 2017, 08:59:05",Morning Ride,Ride,,7633,48.28,68,false,,activities/1066913111.fit.gz
975349264,"7 May 2017, 05:32:52",Fred Whitton,Ride,"",35341,179.15,288,false,,activities/1076679650.fit.gz
977148006,"8 May 2017, 16:57:11",Afternoon Ride,Ride,,9940,66.01,34,false,,activities/1078562690.fit.gz
981846772,"11 May 2017, 17:50:52",Evening Ride,Ride,,2342,17.30,25,false,,activities/1083835990.fit.gz
985387414,"13 May 2017, 07:47:21",Yorkshire 3 peaks walk. Garmin battery flat with 7 to go.,Hike,Actually 25 miles.,48234,29.04,58,false,,activities/1088092788.fit.gz
990453922,"16 May 2017, 19:25:56",Evening Run,Run,,2907,8.26,26,false,,activities/1093002094.fit.gz
995770326,"19 May 2017, 06:58:30",Morning Ride,Ride,,39145,182.23,234,false,,activities/1097882871.fit.gz
999902480,"22 May 2017, 05:53:52",Gib rock run/hike,Run,Run/hike up the rock,4642,8.57,19,false,,activities/1102138014.fit.gz
1006061812,"26 May 2017, 05:28:30",4 times up Duxon on the 'Willy Route'. Not bad eh?,Ride,"",4037,27.42,50,false,,activities/1108456848.fit.gz
1007752000,"27 May 2017, 07:24:23",Morning Ride,Ride,,6982,54.74,39,false,,activities/1110192682.fit.gz
1017791962,"2 Jun 2017, 06:52:11",Preston to Hawes. 11m missing,Ride,"",34882,118.82,169,false,,activities/1120536741.fit.gz
1019455100,"3 Jun 2017, 07:57:25",Hawes to Ambleside via Barrow,Ride,"",33470,167.26,224,false,,activities/1122249573.fit.gz
1020998376,"4 Jun 2017, 08:03:52",Morning Ride,Ride,,27382,125.81,116,false,,activities/1123845113.fit.gz
1029884647,"10 Jun 2017, 14:03:36",A wet run in the countryside.,Run,"",5413,14.59,56,false,,activities/1132869523.fit.gz
1031029171,"11 Jun 2017, 07:39:34",Morning Ride,Ride,,7839,48.38,70,false,,activities/1134033823.fit.gz
1040623185,"16 Jun 2017, 22:07:55",Vatternrundan 2017,Ride,"",40525,297.79,451,false,,activities/1143874651.fit.gz
1053332024,"25 Jun 2017, 10:47:18",Lunch Run,Run,,8295,21.72,37,false,,activities/1156954131.fit.gz
1059885240,"29 Jun 2017, 17:09:48",Evening Run,Run,,4338,11.27,42,false,,activities/1163619908.fit.gz
1062220701,"1 Jul 2017, 08:12:38",Morning Ride,Ride,,17084,85.45,101,false,,activities/1165986757.fit.gz
1063936204,"2 Jul 2017, 07:04:55",Morning Ride,Ride,,21917,123.00,212,false,,activities/1167736674.fit.gz
1070519473,"6 Jul 2017, 12:53:51",Making the most of the sun,Ride,"",9317,54.21,70,false,,activities/1174400641.fit.gz
1073199179,"8 Jul 2017, 07:06:19",Morning Ride,Ride,,16593,113.10,123,false,,activities/1177107571.fit.gz
1074891639,"9 Jul 2017, 06:45:15",Morning Ride,Ride,,15578,84.74,71,false,,activities/1178831870.fit.gz
1078711395,"11 Jul 2017, 07:38:29",Evening Ride,Ride,"",40070,43.46,46,false,,activities/1182744583.fit.gz
1082614712,"14 Jul 2017, 07:57:53",Had to reset the Garmin,Ride,"",158,0.86,0,false,,activities/1186682977.fit.gz
1083208625,"14 Jul 2017, 08:02:14",Morning Ride,Ride,,26213,132.87,178,false,,activities/1187285471.fit.gz
